conjunto,mae_espiras_medio,mae_espiras_pior,pior_condicao,nivel_correto_medio,fora_dominio_medio
trivial,34.741440657299776,60.76391236571392,SC240,0.4947278184778185,0.20488654863654862
posicao,114.00212135081019,243.48283405774154,SC560,0.2006919006919007,0.02197802197802198
indicadores_v1,33.02895343948285,80.0,SC80,0.5833760027308414,0.7485714285714286
indicadores,43.5144533865294,99.02847675964017,SC160,0.5126460113960114,0.7169443459766042
mobilenet,18.02164371890655,27.73243583165681,SC320,0.9214152782701169,0.4367678751952946
dinov2,21.38546057491221,34.537035089272706,SC240,0.851111422925939,0.31706043956043956
hibrido_v1,19.460449451405207,39.710832194152694,SC80,0.9136405529953917,0.3555906593406593
hibrido,16.79519327485156,31.661687975936715,SC240,0.9413328606876993,0.3327335164835165
