feature_set,metric,mean,std,ci95_low,ci95_high
DINOv2,binary_accuracy,1.0,0.0,1.0,1.0
DINOv2,multiclass_f1_macro,0.986096256684492,0.0165380751378694,0.9779032151581172,0.9940142162364386
DINOv2,regression_mae_alpha,0.0150157082885958,0.0023204371490456,0.013915348619742,0.0161617343833503
DINOv2+indicadores,binary_accuracy,1.0,0.0,1.0,1.0
DINOv2+indicadores,multiclass_f1_macro,0.9970071081182194,0.0078982216672165,0.992517770295548,1.0
DINOv2+indicadores,regression_mae_alpha,0.0102596541778615,0.0012601450472147,0.0096595067496209,0.0108702441431753
