fracao_area_roi,fracao_area_quente,fracao_saturada,indice_media,indice_p50,indice_p90,indice_p95,indice_p99,indice_max,indice_desvio,indice_assimetria,indice_integrado,contraste_roi_fundo,fundo_mediana,hotspot_x,hotspot_y,hotspot_distancia_centro,hotspot_dispersao,gradiente_medio,gradiente_p90,entropia,componentes_quentes,maior_componente_quente,hist_indice_00,hist_indice_01,hist_indice_02,hist_indice_03,hist_indice_04,hist_indice_05,hist_indice_06,hist_indice_07,hist_indice_08,hist_indice_09,hist_indice_10,hist_indice_11,hist_indice_12,hist_indice_13,hist_indice_14,hist_indice_15,arquivo,condicao
0.4160026041666667,0.11477667532630129,0.0,0.062251247465610504,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.1269841343164444,0.022621089592576027,0.4287768602371216,0.02589668147265911,0.050346486270427704,0.011904762126505375,0.6618359878027675,0.5939123528035734,0.1871107077566657,0.26382582326473136,0.024168839678168297,0.0634920597076416,1.4296997109787974,19.0,0.07036213966008326,0.5218003693386335,0.47776143228270057,0.00043819837866599894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1001.bmp,Healthy
0.44408854166666667,0.13619304521198616,0.0,0.06320270150899887,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.130952388048172,0.022946638986468315,0.4338206350803375,0.02806759439408779,0.05526619404554367,0.007936508394777775,0.6123791208770265,0.6068045743111359,0.15503639541371014,0.28356261306955394,0.02568184956908226,0.0714285671710968,1.4956812975283156,20.0,0.06919603588811353,0.5237788072479915,0.4740808068961473,0.0021403858558611388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1002.bmp,Healthy
0.4438020833333333,0.13399248914446663,0.0,0.06267278641462326,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.130952388048172,0.02307559736073017,0.43445998430252075,0.027814311906695366,0.05473627895116806,0.007936508394777775,0.6029069774104738,0.6086966568230335,0.1496823610325014,0.2858444222498743,0.025862352922558784,0.07317099720239639,1.484988233237296,17.0,0.06460509329890858,0.5295153151038611,0.46928177443961977,0.0012029104565191879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1003.bmp,Healthy
0.43973958333333335,0.1275316830510482,0.0,0.06277531385421753,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.130952388048172,0.022800937294960022,0.440824031829834,0.027604790404438972,0.05483880639076233,0.007936508394777775,0.6304049614669534,0.6154042509135317,0.17413671383172177,0.2818756356403657,0.02604098618030548,0.07186812907457352,1.4697443328550173,23.0,0.06200402700461921,0.5273895534762525,0.4708338268388014,0.0017766196849461093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1004.bmp,Healthy
0.4381380208333333,0.12107343457457874,0.0,0.06195106357336044,0.0595238097012043,0.095238097012043,0.1031746044754982,0.1111111119389534,0.1269841343164444,0.022825095802545547,0.44696304202079773,0.027143115177750587,0.05401455610990524,0.007936508394777775,0.6258044958169374,0.6161885153541722,0.17124994092834173,0.2835159268162895,0.026383737102150917,0.0753341093659401,1.459559429875893,21.0,0.05480103420606853,0.5394216767214479,0.4590329578887931,0.0015453653897589824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1005.bmp,Healthy
0.4397916666666667,0.10152179062055898,0.0,0.0639566108584404,0.0595238097012043,0.0992063507437706,0.1031746044754982,0.115079365670681,0.130952388048172,0.022780530154705048,0.4549400508403778,0.028127584606409073,0.0520518496632576,0.011904762126505375,0.6234909622066279,0.6240110985254241,0.17501077196618858,0.2840781501973952,0.02640112116932869,0.07550116628408432,1.4641934091077067,21.0,0.044824727617243015,0.5151290857413549,0.48339057318806256,0.0014803410705826621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1006.bmp,Healthy
0.43595052083333335,0.1366147964517189,0.0,0.06815841794013977,0.0634920671582222,0.0992063507437706,0.1071428582072258,0.1190476194024086,0.1349206417798996,0.022690050303936005,0.44801065325737,0.029713697731494904,0.05625365674495697,0.011904762126505375,0.6307963463882011,0.6136499628234698,0.17327434397012842,0.28158552672940496,0.0260650422424078,0.07550116628408432,1.515298442385501,20.0,0.0683372659120098,0.46733968519458796,0.5295540754457753,0.003106239359636809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1007.bmp,Healthy
0.437578125,0.12268642504314706,0.0,0.06203741580247879,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.1269841343164444,0.022819235920906067,0.4509791135787964,0.027146214619278908,0.05410090833902359,0.007936508394777775,0.6331635106263162,0.6193715794204657,0.17883538390279918,0.28423058972776655,0.026542823761701584,0.07550118118524551,1.4529629930879775,23.0,0.05311551508659168,0.5352615604356364,0.4633993929655419,0.001339046598821639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1008.bmp,Healthy
0.4394401041666667,0.10178079350499274,0.0,0.06412924081087112,0.0595238097012043,0.0992063507437706,0.1031746044754982,0.115079365670681,0.130952388048172,0.022802963852882385,0.45271143317222595,0.028180962428450584,0.052224479615688324,0.011904762126505375,0.6287834027206752,0.6260198682517938,0.18018371738454916,0.2875209465576639,0.026776358485221863,0.07550118118524551,1.4674084117339592,24.0,0.043023496992503484,0.5121929538652997,0.4862366292334588,0.0015704169012415183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1009.bmp,Healthy
0.442734375,0.10552320451738133,0.0,0.06392516940832138,0.0595238097012043,0.0992063507437706,0.1031746044754982,0.115079365670681,0.130952388048172,0.023134315386414528,0.4389967620372772,0.028301868587732315,0.05598866194486618,0.007936508394777775,0.6470988252694695,0.6279116472671414,0.1949344861799767,0.286496920628483,0.026287714019417763,0.07529231905937195,1.4800984391177612,19.0,0.045614963825657315,0.5171754602670431,0.4809422975119111,0.0018822422210458209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1010.bmp,Healthy
0.4297786458333333,0.12518556669797315,0.0,0.0668284222483635,0.0634920671582222,0.0992063507437706,0.1071428582072258,0.1190476194024086,0.1349206417798996,0.022697895765304565,0.4426220655441284,0.02872142754495144,0.054923661053180695,0.011904762126505375,0.6435924135801498,0.6244854675024495,0.19004055582184612,0.28495203780052686,0.0263418797403574,0.07487285137176514,1.4917589564500855,22.0,0.053715878450025754,0.48171599963644074,0.5153452297997394,0.002938770563819796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1011.bmp,Healthy
0.4337109375,0.1366297397099883,0.0,0.06753429770469666,0.0634920671582222,0.0992063507437706,0.1071428582072258,0.1190476194024086,0.1349206417798996,0.022957615554332733,0.4406754970550537,0.029290365055203438,0.055629536509513855,0.011904762126505375,0.618223674368735,0.6166864887511384,0.16611012563451466,0.2861714597281497,0.026267962530255318,0.07487286627292633,1.5091256044002204,17.0,0.06751928908102915,0.47590741241106005,0.52091026449308,0.003182323095859978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1012.bmp,Healthy
0.43703125,0.10707901322845906,0.0,0.06872443109750748,0.0634920671582222,0.1031746044754982,0.1071428582072258,0.1190476194024086,0.1388888955116272,0.02303033322095871,0.437395304441452,0.03003472276031971,0.056819669902324677,0.011904762126505375,0.6278722181230902,0.6281863531497662,0.18106088838165948,0.28267737945926064,0.0262848399579525,0.07529228925704956,1.536392687604014,20.0,0.04689548325586938,0.4598975092360863,0.5358419735430818,0.004260517220831843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1013.bmp,Healthy
0.4408463541666667,0.1216587411761231,0.0,0.0626322403550148,0.0595238097012043,0.095238097012043,0.1031746044754982,0.115079365670681,0.130952388048172,0.022644249722361565,0.4050353169441223,0.027611196041107178,0.0546957328915596,0.007936508394777775,0.6140045231296881,0.619252575124895,0.1649794168008431,0.28891874942990864,0.02512277476489544,0.06757694482803345,1.474153525357056,20.0,0.05455297279735358,0.522314440145317,0.47647458428094636,0.0012109755737365981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1014.bmp,Healthy
0.4383984375,0.11146752205292702,0.0,0.061864644289016724,0.0595238097012043,0.095238097012043,0.1031746044754982,0.1111111119389534,0.1269841343164444,0.022665126249194145,0.4024422764778137,0.02712136320769787,0.05392813682556152,0.007936508394777775,0.5757717078374169,0.6317145789424828,0.15195421025622954,0.29535100508695517,0.026035144925117493,0.0714285671710968,1.4660712501070015,21.0,0.04288811666518162,0.5337550862811489,0.46541328818794736,0.0008316255309037988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1015.bmp,Healthy
0.42515625,0.1019845644983462,0.0,0.06043153256177902,0.0555555559694767,0.0992063507437706,0.1031746044754982,0.115079365670681,0.1269841343164444,0.02454793080687523,0.4861971437931061,0.02569284476339817,0.05646327883005142,0.003968254197388887,0.6399705334549725,0.5585296811035101,0.15171510737480348,0.2739438106609022,0.02622305229306221,0.0682724341750145,1.5691643951949792,15.0,0.05748499326228102,0.5611907386990077,0.43773735146392256,0.0010719098370697048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1016.bmp,Healthy
0.40899739583333333,0.13514373945433128,0.0,0.05956107750535011,0.0555555559694767,0.0873015895485878,0.0992063507437706,0.1111111119389534,0.1269841343164444,0.02124088816344738,0.4905872941017151,0.024360327050089836,0.05559282377362251,0.003968254197388887,0.5549311923724513,0.6161846748642342,0.1285158144695316,0.2796607462944814,0.0258034598082304,0.0714285671710968,1.3386837571008894,21.0,0.06739677183152398,0.5631466683645856,0.43599376014771896,0.0008595714876953933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1017.bmp,Healthy
0.4366536458333333,0.10049202325928135,0.0,0.0644756406545639,0.0595238097012043,0.0992063507437706,0.1031746044754982,0.115079365670681,0.130952388048172,0.02268790453672409,0.42662906646728516,0.028153523802757263,0.056539133191108704,0.007936508394777775,0.6521877304354335,0.6163765680916562,0.1915844745690007,0.28659375831276557,0.025732938200235367,0.0694160982966423,1.4933483943095007,23.0,0.04484866557328165,0.506217384821828,0.49235127478753543,0.0014313403906366484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,p1018.bmp,Healthy
