conjunto,esquema,bin_acuracia,bin_precisao,bin_recall,bin_especificidade,bin_f1,bin_roc_auc,bin_saudaveis_no_teste,mul_acuracia_balanceada,mul_f1_macro,mul_nivel_correto,mul_erro_um_nivel,mul_erro_dois_ou_mais,reg_mae_alfa,reg_rmse_alfa,reg_r2,reg_mae_espiras,reg_vies_alfa,reg_nivel_mais_proximo_correto,bin_acuracia_dp,bin_precisao_dp,bin_recall_dp,bin_especificidade_dp,bin_f1_dp,bin_roc_auc_dp,bin_saudaveis_no_teste_dp,mul_acuracia_balanceada_dp,mul_f1_macro_dp,mul_nivel_correto_dp,mul_erro_um_nivel_dp,mul_erro_dois_ou_mais_dp,reg_mae_alfa_dp,reg_rmse_alfa_dp,reg_r2_dp,reg_mae_espiras_dp,reg_vies_alfa_dp,reg_nivel_mais_proximo_correto_dp
dinov2,original,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.9861728395061728,0.986096256684492,0.9869281045751634,0.009150326797385621,0.00392156862745098,0.015015702834576043,0.020148271958055415,0.9963434564348498,9.009421700745627,-0.0008812728582644031,0.9803921568627452,0.0,0.0,0.0,0.0,0.0,0.0,0.50709255283711,0.01647251207495998,0.016538075137869465,0.01600973688093581,0.010125446656751417,0.008118418345204166,0.00232044153064872,0.003346393932418863,0.001239228042787328,1.3922649183892317,0.003710874675947859,0.019607843137254877
hibrido_v1,original,1.0,1.0,1.0,1.0,1.0,1.0,4.4,0.997037037037037,0.9970071081182194,0.9973856209150327,0.00261437908496732,0.0,0.010259654177861576,0.014021834516388434,0.9982512532407526,6.155792506716946,-0.0007218168731073788,0.996078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.50709255283711,0.007819239450544378,0.007898221667216581,0.006899328926950967,0.006899328926950949,0.0,0.0012601450472147448,0.0016141271537132727,0.0003939373760631168,0.7560870283288469,0.0020267506456274572,0.00811841834520418
