conjunto,regressor,condicao_retirada,alfa_real,n_teste,ridge_alpha,alfa_previsto_medio,alfa_previsto_dp,mae_alfa,rmse_alfa,mae_espiras,vies_alfa,nivel_mais_proximo_correto,fora_dominio_fracao,conformal_meia_largura,conformal_cobertura
indicadores|ridge,ridge,SC80,0.13333333333333333,26,1.0,0.0,0.0,0.13333333333333333,0.13333333333333333,80.0,-0.13333333333333333,0.0,1.0,0.06472078772316764,0.0
indicadores|ridge,ridge,SC160,0.26666666666666666,31,10.0,0.20935783400091218,0.02234546364861125,0.057308832665754456,0.061380086010145066,34.38529959945267,-0.057308832665754456,0.7419354838709677,0.9354838709677419,0.13333333333333333,1.0
indicadores|ridge,ridge,SC240,0.4,26,1.0,0.4684654208327922,0.00902029670436246,0.06846542083279218,0.06903441279841273,41.079252499675306,0.06846542083279218,0.38461538461538464,0.0,0.13333333333333333,1.0
indicadores|ridge,ridge,SC320,0.5333333333333333,26,1.0,0.4971750716656697,0.009669530299635774,0.03615826166766356,0.03738079127393213,21.694957000598137,-0.03615826166766356,1.0,0.7692307692307693,0.13333333333333333,1.0
indicadores|ridge,ridge,SC400,0.6666666666666666,25,10.0,0.6087880986701114,0.00949904798021529,0.05787856799655524,0.05862210563738804,34.727140797933146,-0.05787856799655524,0.72,1.0,0.13333333333333333,1.0
indicadores|ridge,ridge,SC480,0.8,27,0.1,0.7197070297498823,0.0092579760544404,0.08029297025011789,0.08080530145540504,48.17578215007073,-0.08029297025011789,0.07407407407407407,1.0,0.13333333333333333,1.0
indicadores|ridge,ridge,SC560,0.9333333333333333,32,100.0,0.9135495053160194,0.011398737160304786,0.019783828017313994,0.02274358611986724,11.870296810388396,-0.019783828017313994,1.0,1.0,0.13333333333333333,1.0
indicadores|pls,pls,SC80,0.13333333333333333,26,{'modelo__n_components': 2},0.0,0.0,0.13333333333333333,0.13333333333333333,80.0,-0.13333333333333333,0.0,1.0,0.09985638455681922,0.0
indicadores|pls,pls,SC160,0.26666666666666666,31,{'modelo__n_components': 2},0.2969281734017372,0.020553103188193002,0.032631178224037764,0.03639453344546876,19.57870693442266,0.030261506735070585,1.0,0.9354838709677419,0.13333333333333333,1.0
indicadores|pls,pls,SC240,0.4,26,{'modelo__n_components': 2},0.4516252193615323,0.012991580288011093,0.051625219361532276,0.053173798524193815,30.975131616919366,0.051625219361532276,0.8846153846153846,0.0,0.13333333333333333,1.0
indicadores|pls,pls,SC320,0.5333333333333333,26,{'modelo__n_components': 2},0.5304276448100758,0.01745861986155045,0.013395314874472855,0.017364424127643684,8.037188924683713,-0.0029056885232575124,1.0,0.7692307692307693,0.13333333333333333,1.0
indicadores|pls,pls,SC400,0.6666666666666666,25,{'modelo__n_components': 2},0.5738798224440638,0.009786575721305368,0.09278684422260292,0.09328099722110858,55.67210653356175,-0.09278684422260292,0.0,1.0,0.13333333333333333,1.0
indicadores|pls,pls,SC480,0.8,27,{'modelo__n_components': 16},0.7843820996602461,0.011722450141386677,0.01675933213182629,0.01939704031247004,10.055599279095775,-0.015617900339753977,1.0,1.0,0.13333333333333333,1.0
indicadores|pls,pls,SC560,0.9333333333333333,32,{'modelo__n_components': 8},0.8819582614356816,0.00885323303757093,0.05137507189765178,0.05210881289168732,30.82504313859107,-0.05137507189765178,0.9375,1.0,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC80,0.13333333333333333,26,"{'modelo__alpha': 1.0, 'pca__n_components': 30}",0.0,0.0,0.13333333333333333,0.13333333333333333,80.0,-0.13333333333333333,0.0,1.0,0.06469456306943777,0.0
indicadores|pca_ridge,pca_ridge,SC160,0.26666666666666666,31,"{'modelo__alpha': 10.0, 'pca__n_components': 30}",0.20932807732308847,0.022346444539331673,0.057338589343578154,0.06140821531982327,34.403153606146894,-0.057338589343578154,0.7419354838709677,0.9354838709677419,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC240,0.4,26,"{'modelo__alpha': 1.0, 'pca__n_components': 30}",0.46844506507815126,0.009040372553831921,0.06844506507815123,0.06901675066191798,41.06703904689074,0.06844506507815123,0.38461538461538464,0.0,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC320,0.5333333333333333,26,"{'modelo__alpha': 1.0, 'pca__n_components': 30}",0.4970000173861852,0.009647227687179398,0.036333315947148025,0.03754463041184058,21.799989568288815,-0.036333315947148025,1.0,0.7692307692307693,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC400,0.6666666666666666,25,"{'modelo__alpha': 1.0, 'pca__n_components': 30}",0.65522327911456,0.009983036111896092,0.01306363968465925,0.015054092077527326,7.83818381079555,-0.011443387552106521,1.0,1.0,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC480,0.8,27,"{'modelo__alpha': 1.0, 'pca__n_components': 30}",0.7946372395738984,0.010851218177798149,0.009837250432074153,0.011922544343736944,5.902350259244492,-0.00536276042610137,1.0,1.0,0.13333333333333333,1.0
indicadores|pca_ridge,pca_ridge,SC560,0.9333333333333333,32,"{'modelo__alpha': 10.0, 'pca__n_components': 10}",0.9244975201799427,0.01562137743341259,0.013591119317318889,0.017733391376724972,8.154671590391333,-0.008835813153390683,1.0,1.0,0.13333333333333333,1.0
indicadores|kernel_ridge,kernel_ridge,SC80,0.13333333333333333,26,{'modelo__alpha': 0.01},0.006284453368277112,0.00488607689988822,0.12704887996505623,0.12713918918567274,76.22932797903374,-0.12704887996505623,0.0,1.0,0.4807328069675805,1.0
indicadores|kernel_ridge,kernel_ridge,SC160,0.26666666666666666,31,{'modelo__alpha': 0.01},0.19443701995220297,0.022841639541260894,0.07222964671446373,0.07564411426422014,43.33778802867824,-0.07222964671446373,0.5161290322580645,0.9354838709677419,0.46844199716265356,1.0
indicadores|kernel_ridge,kernel_ridge,SC240,0.4,26,{'modelo__alpha': 0.01},0.37452812975274047,0.012370011387656601,0.025471870247259516,0.0282125518059527,15.283122148355709,-0.025471870247259516,1.0,0.0,0.47615640330776676,1.0
indicadores|kernel_ridge,kernel_ridge,SC320,0.5333333333333333,26,{'modelo__alpha': 0.01},0.47939337287357897,0.024553636465894948,0.053939960459754424,0.059069557852416604,32.36397627585266,-0.053939960459754424,0.9230769230769231,0.7692307692307693,0.4774398180271004,1.0
indicadores|kernel_ridge,kernel_ridge,SC400,0.6666666666666666,25,{'modelo__alpha': 1.0},0.5157135517546689,0.019286797858434703,0.1509531149119977,0.15213133881748897,90.57186894719862,-0.1509531149119977,0.0,1.0,0.5224912806020667,1.0
indicadores|kernel_ridge,kernel_ridge,SC480,0.8,27,{'modelo__alpha': 0.01},0.6596574223668632,0.008405088461893894,0.14034257763313682,0.1405847363987959,84.2055465798821,-0.14034257763313682,0.0,1.0,0.5705355542869126,1.0
indicadores|kernel_ridge,kernel_ridge,SC560,0.9333333333333333,32,{'modelo__alpha': 1.0},0.3789005593196261,0.01210800620469291,0.5544327740137072,0.554560838272585,332.6596644082243,-0.5544327740137072,0.0,1.0,0.38954065193839715,0.0
indicadores|svr,svr,SC80,0.13333333333333333,26,{'modelo__C': 0.3},0.24214006670456695,0.028987887127909825,0.10880673337123363,0.11245836424469378,65.28404002274017,0.10880673337123363,0.038461538461538464,1.0,0.20409116876668776,1.0
indicadores|svr,svr,SC160,0.26666666666666666,31,{'modelo__C': 0.3},0.2863328484064865,0.03290787544314158,0.03162708005437635,0.03787814410089448,18.97624803262581,0.019666181739819835,0.967741935483871,0.9354838709677419,0.19184691732006298,1.0
indicadores|svr,svr,SC240,0.4,26,{'modelo__C': 0.3},0.4590347393337194,0.009246063867346421,0.05903473933371934,0.05972689578379665,35.420843600231606,0.05903473933371934,0.8461538461538461,0.0,0.19983869177419333,1.0
