conjunto,teste,retirado,erro_espiras,score_dominio,aceita
hibrido,severidade,SC80,50.03906368561867,1.6547938481672222,False
hibrido,severidade,SC80,43.40277351247925,1.7782944777708334,False
hibrido,severidade,SC80,36.96703840150443,1.4613814224931723,False
hibrido,severidade,SC80,14.21201906693556,1.37285117601103,False
hibrido,severidade,SC80,15.648313798958629,1.6598739490652765,False
hibrido,severidade,SC80,23.982133268327825,1.6599778952542994,False
hibrido,severidade,SC80,11.79895580791232,1.770115632289701,False
hibrido,severidade,SC80,13.002096470976603,1.7281393175432793,False
hibrido,severidade,SC80,7.304046366220768,1.5417006174238352,False
hibrido,severidade,SC80,31.598582622975186,1.4855801513814986,False
hibrido,severidade,SC80,27.182349151798373,1.7826256222328232,False
hibrido,severidade,SC80,1.3269660073057576,1.6954121907274984,False
hibrido,severidade,SC80,18.068635820200367,1.8113704511876978,False
hibrido,severidade,SC80,22.382462591726554,1.7962663404750434,False
hibrido,severidade,SC80,30.082339346680804,1.7714640200486347,False
hibrido,severidade,SC80,34.33469296424105,1.730872191088783,False
hibrido,severidade,SC80,4.885504258134227,1.7550754191150795,False
hibrido,severidade,SC80,35.12539750568828,1.6676698076084069,False
hibrido,severidade,SC80,42.34767034104447,1.6934351651289241,False
hibrido,severidade,SC80,37.29369797675998,1.9735364075545285,False
hibrido,severidade,SC80,27.473650781441677,1.824652082632748,False
hibrido,severidade,SC80,48.92848295137524,1.7574808294989743,False
hibrido,severidade,SC80,19.00840672010397,2.021297170840446,False
hibrido,severidade,SC80,32.62242512470421,2.0069161698633415,False
hibrido,severidade,SC80,13.241162379752074,2.0344974177582,False
hibrido,severidade,SC80,29.27959617638278,1.9251599850288266,False
hibrido,severidade,SC160,16.699206718772018,1.1445563803175998,False
hibrido,severidade,SC160,20.14884309509344,1.1427467750360352,False
hibrido,severidade,SC160,14.340471936520249,1.0829025243025558,False
hibrido,severidade,SC160,14.49509966084408,1.0977726333853035,False
hibrido,severidade,SC160,24.203057798718696,1.0393701268185331,False
hibrido,severidade,SC160,24.020430831580065,1.0608981708028897,False
hibrido,severidade,SC160,3.969435792605258,1.0713242737360635,False
hibrido,severidade,SC160,14.019850130482292,1.2137660350738697,False
hibrido,severidade,SC160,0.6522261455674139,1.140514392056623,False
hibrido,severidade,SC160,11.333334854755995,1.1019827357339707,False
hibrido,severidade,SC160,7.817146941333853,1.1329057910580866,False
