conjunto,treino,perturbacao,dobra,mul_f1_macro,reg_mae_espiras
mobilenet,aumentado,rotacao,b0,0.9563492063492064,7.6199980293001435
mobilenet,aumentado,nenhuma,b1,1.0,5.450191062230332
mobilenet,aumentado,ruido,b1,1.0,18.14470020624308
mobilenet,aumentado,desfoque,b1,0.9851851851851853,7.675662361658537
mobilenet,aumentado,translacao,b1,1.0,8.744074862736921
mobilenet,aumentado,rotacao,b1,1.0,7.155445768282962
mobilenet,aumentado,nenhuma,b2,1.0,4.902441258333169
mobilenet,aumentado,ruido,b2,1.0,10.417541776384626
mobilenet,aumentado,desfoque,b2,1.0,7.300499093775844
mobilenet,aumentado,translacao,b2,1.0,8.73307434880004
mobilenet,aumentado,rotacao,b2,1.0,6.447738263071801
mobilenet,aumentado,nenhuma,b3,1.0,7.433402903225957
mobilenet,aumentado,ruido,b3,1.0,15.11170333745528
mobilenet,aumentado,desfoque,b3,1.0,8.933861547586869
mobilenet,aumentado,translacao,b3,0.9775533108866442,7.8152020610108694
mobilenet,aumentado,rotacao,b3,1.0,7.483012043699922
mobilenet,aumentado,nenhuma,b4,1.0,9.663051756060852
mobilenet,aumentado,ruido,b4,0.9775533108866442,21.01394315155185
mobilenet,aumentado,desfoque,b4,1.0,9.109628273516286
mobilenet,aumentado,translacao,b4,1.0,13.806991090579906
mobilenet,aumentado,rotacao,b4,1.0,11.725551814449071
hibrido_mb_f,limpo,nenhuma,b0,0.898148148148148,6.09636236887384
hibrido_mb_f,limpo,ruido,b0,0.5439050094222507,43.99588930689623
hibrido_mb_f,limpo,desfoque,b0,0.5519162210338681,16.468494800056014
hibrido_mb_f,limpo,translacao,b0,0.9791073124406459,12.201308466862203
hibrido_mb_f,limpo,rotacao,b0,0.9563492063492064,9.220780786349387
hibrido_mb_f,limpo,nenhuma,b1,1.0,4.323283615498031
hibrido_mb_f,limpo,ruido,b1,0.7228737798913237,36.130031874107644
hibrido_mb_f,limpo,desfoque,b1,0.5598290598290598,19.84434419712884
hibrido_mb_f,limpo,translacao,b1,1.0,9.662173567631587
hibrido_mb_f,limpo,rotacao,b1,0.9851851851851853,6.877394701477297
hibrido_mb_f,limpo,nenhuma,b2,1.0,5.84804693831784
hibrido_mb_f,limpo,ruido,b2,0.8096440596440596,23.30904407998549
hibrido_mb_f,limpo,desfoque,b2,0.7089947089947091,16.317021720038415
