held_condition,held_alpha,n_test,mean_predicted_alpha,std_predicted_alpha,mae_alpha,rmse_alpha,r2,mae_turns
SC80,0.13333333333333333,26,0.10246675293440045,0.02785426155538633,0.03408042136922006,0.041216075837504175,,20.448252821532034
SC160,0.26666666666666666,31,0.24707493400666528,0.02549332337556725,0.025348368035208235,0.03182421564762726,,15.209020821124941
SC240,0.4,26,0.44515751136199416,0.012287660634959605,0.04515751136199404,0.04673735400315525,,27.094506817196425
SC320,0.5333333333333333,26,0.5325561984737354,0.01418812847114492,0.010383886519283219,0.01393429242660391,,6.230331911569931
SC400,0.6666666666666666,25,0.6315769132243813,0.01627992054598173,0.035089753442285335,0.03854510574774072,,21.0538520653712
SC480,0.8,27,0.8071921498261809,0.015707442489902565,0.014607998073056395,0.01700919904184069,,8.764798843833837
SC560,0.9333333333333333,32,0.9111294711857887,0.01666698132305933,0.023335221020392528,0.02760650063598518,,14.001132612235516
